,Team,Opponent,Date,Competition,Result,Appearance,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Fouls Suffered,Yellow Cards,Red Cards
20,Barcelona,A - R Sociedad,2014-02-22,La Liga,L 3-1,Sub-On 72 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Barcelona,H - Almeria,2014-03-02,La Liga,W 4-1,Sub-Off 71 min,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
18,Chile,A - Germany,2014-03-05,Int,L 1-0,Started,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0
17,Barcelona,A - Valladolid,2014-03-08,La Liga,L 1-0,Sub-On 60 min,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16,Barcelona,H - Man City,2014-03-12,UCL,W 2-1,Sub-On 79 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Barcelona,H - Osasuna,2014-03-16,La Liga,W 7-0,Sub-Off 76 min,1.0,1.0,4.0,1.0,1.0,3.0,0.0,0.0
14,Barcelona,A - Real Madrid,2014-03-23,La Liga,W 3-4,Sub-On 77 min,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,Barcelona,H - Celta Vigo,2014-03-26,La Liga,W 3-0,Started,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0
12,Barcelona,A - Espanyol,2014-03-29,La Liga,W 0-1,Sub-On 80 min,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
11,Barcelona,H - Atletico,2014-04-01,UCL,D 1-1,Sub-On 67 min,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
10,Barcelona,H - Betis,2014-04-05,La Liga,W 3-1,Started,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
9,Barcelona,A - Atletico,2014-04-09,UCL,L 1-0,Sub-On 60 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Barcelona,A - Granada,2014-04-12,La Liga,L 1-0,Sub-On 73 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Barcelona,A - Real Madrid,2014-04-16,Esp Cup,L 2-1,Sub-On 87 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Barcelona,H - Athletic,2014-04-20,La Liga,W 2-1,Sub-Off 86 min,0.0,1.0,3.0,1.0,1.0,5.0,0.0,0.0
5,Barcelona,A - Villarreal,2014-04-27,La Liga,W 2-3,Sub-Off 61 min,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4,Barcelona,H - Getafe,2014-05-03,La Liga,D 2-2,Started,1.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0
3,Barcelona,A - Elche,2014-05-11,La Liga,D 0-0,Started,0.0,0.0,2.0,2.0,3.0,2.0,1.0,0.0
2,Barcelona,H - Atletico,2014-05-17,La Liga,D 1-1,Started,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0
1,Chile,H - Egypt,2014-05-30,Int,W 3-2,Started,0.0,3.0,7.0,4.0,2.0,3.0,1.0,0.0
0,Chile,H - N Ireland,2014-06-04,Int,W 2-0,Sub-On 58 min,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0
69,Chile,H - Australia,2014-06-13,WC,W 3-1,Started,1.0,1.0,2.0,1.0,0.0,6.0,0.0,0.0
